agency_id,line_id,operational_day,total_trip_count,pass_trip_count,pass_trip_percentage
42,2727,20241001,76,75,0.9868421052631579
42,2728,20241001,68,65,0.9558823529411765
42,2729,20241001,75,73,0.9733333333333334
42,2730,20241001,84,83,0.9880952380952381
42,2731,20241001,32,32,1
42,2733,20241001,22,22,1
42,2734,20241001,23,23,1
42,2735,20241001,23,23,1
42,2736,20241001,59,52,0.8813559322033898
42,2740,20241001,39,39,1
42,2741,20241001,4,4,1
42,2742,20241001,2,2,1
42,2743,20241001,2,2,1
42,2744,20241001,11,11,1
42,2745,20241001,2,2,1
42,2746,20241001,9,8,0.8888888888888888
42,2750,20241001,38,38,1
42,2751,20241001,16,16,1
42,2752,20241001,2,2,1
42,2753,20241001,9,9,1
42,2754,20241001,41,39,0.9512195121951219
42,2755,20241001,7,7,1
42,2756,20241001,5,5,1
42,2758,20241001,7,7,1
42,2761,20241001,29,29,1
42,2762,20241001,30,30,1
42,2764,20241001,77,75,0.974025974025974
42,2765,20241001,11,11,1
42,2768,20241001,2,2,1
42,2769,20241001,176,173,0.9829545454545454
42,2772,20241001,105,104,0.9904761904761905
42,2774,20241001,37,36,0.972972972972973
42,2776,20241001,64,61,0.953125
42,2780,20241001,11,11,1
42,2781,20241001,65,65,1
42,2785,20241001,14,14,1
42,2790,20241001,95,94,0.9894736842105263
42,2791,20241001,32,31,0.96875
42,2792,20241001,30,26,0.8666666666666667
42,2794,20241001,81,80,0.9876543209876543
42,2795,20241001,65,62,0.9538461538461539
42,2796,20241001,40,40,1
42,2797,20241001,68,64,0.9411764705882353
42,2801,20241001,38,38,1
42,2802,20241001,20,20,1
42,2803,20241001,31,30,0.967741935483871
42,2804,20241001,39,38,0.9743589743589743
42,2805,20241001,13,13,1
42,2806,20241001,2,2,1
42,2807,20241001,4,4,1
42,2810,20241001,4,4,1
42,2811,20241001,15,15,1
42,2812,20241001,95,94,0.9894736842105263
42,2813,20241001,2,2,1
42,2814,20241001,41,41,1
42,2816,20241001,4,4,1
42,2818,20241001,2,2,1
42,2819,20241001,4,4,1
