id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,Parent Station Name,Parent Station ID,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name
P00011,Algueirão - Mem Martins (Estação) (A),38.798129,-9.339072,1,0,0,0,,,Algueirão - Mem Martins (Estação),I170006,,Algueirão-Mem Martins,1111,Sintra,11,Lisboa,PT170,AML
P00012,Algueirão - Mem Martins (Estação) (B),38.798316,-9.339812,1,0,0,0,,,Algueirão - Mem Martins (Estação),I170006,,Algueirão-Mem Martins,1111,Sintra,11,Lisboa,PT170,AML
P00013,Alhandra (Estação) (A),38.924338,-9.011494,0,1,0,0,,,Alhandra (Estação),I180007,,"União das freguesias de Alhandra, São João dos Montes e Calhandriz",1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00014,Alhandra (Estação) (B),38.923966,-9.011136,0,1,0,0,,,Alhandra (Estação),I180007,,"União das freguesias de Alhandra, São João dos Montes e Calhandriz",1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00015,Alhandra (Estação) (C),38.924418,-9.010885,0,1,0,0,,,Alhandra (Estação),I180007,,"União das freguesias de Alhandra, São João dos Montes e Calhandriz",1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00016,Alhos Vedros (Estação) (A),38.652457,-9.028382,0,0,0,1,,,Alhos Vedros (Estação),I090008,,Alhos Vedros,1506,Moita,15,Setúbal,PT170,AML
P00017,Alhos Vedros (Estação) (B),38.653095,-9.028019,0,0,0,1,,,Alhos Vedros (Estação),I090008,,Alhos Vedros,1506,Moita,15,Setúbal,PT170,AML
P00018,Alhos Vedros (Estação) (C),38.651647,-9.026572,0,0,0,1,,,Alhos Vedros (Estação),I090008,,Alhos Vedros,1506,Moita,15,Setúbal,PT170,AML
P00019,Alhos Vedros (Estação) (D),38.651484,-9.025752,0,0,0,1,,,Alhos Vedros (Estação),I090008,,Alhos Vedros,1506,Moita,15,Setúbal,PT170,AML
P00020,Almada (Metro),38.675720,-9.163820,0,0,1,0,,,Almada (Metro),I020127,,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1503,Almada,15,Setúbal,PT170,AML
P00021,Alverca (Estação) (A),38.890915,-9.033348,0,1,0,0,,,Alverca (Estação),I180010,,União das freguesias de Alverca do Ribatejo e Sobralinho,1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00022,Alverca (Estação) (B),38.890003,-9.034655,0,1,0,0,,,Alverca (Estação),I180010,,União das freguesias de Alverca do Ribatejo e Sobralinho,1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00023,Alverca (Estação) (C),38.889855,-9.034946,0,1,0,0,,,Alverca (Estação),I180010,,União das freguesias de Alverca do Ribatejo e Sobralinho,1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00024,Alverca (Estação) (D),38.889492,-9.035117,0,1,0,0,,,Alverca (Estação),I180010,,União das freguesias de Alverca do Ribatejo e Sobralinho,1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00025,Alverca (Estação) (E),38.890391,-9.035900,0,1,0,0,,,Alverca (Estação),I180010,,União das freguesias de Alverca do Ribatejo e Sobralinho,1114,Vila Franca de Xira,11,Lisboa,PT170,AML
P00026,Amadora (Estação) (A),38.758899,-9.232829,1,0,0,0,,,Amadora (Estação),I030011,,Venteira,1115,Amadora,11,Lisboa,PT170,AML
P00027,Amadora (Estação) (B),38.758550,-9.234102,1,0,0,0,,,Amadora (Estação),I030011,,Venteira,1115,Amadora,11,Lisboa,PT170,AML
P00028,Amadora (Estação) (C),38.760370,-9.237707,1,0,0,0,,,Amadora (Estação),I030011,,Venteira,1115,Amadora,11,Lisboa,PT170,AML
P00029,Amadora (Hospital) (A),38.745538,-9.245958,1,0,0,0,,,Amadora (Hospital),I030012,,Venteira,1115,Amadora,11,Lisboa,PT170,AML
P00030,Amadora (Hospital) (B),38.745709,-9.245988,1,0,0,0,,,Amadora (Hospital),I030012,,Venteira,1115,Amadora,11,Lisboa,PT170,AML
P00031,Amadora (Hospital) (C),38.745823,-9.245891,1,0,0,0,,,Amadora (Hospital),I030012,,Venteira,1115,Amadora,11,Lisboa,PT170,AML
