Product_id;Name;is_person_transport_title;is_junior;is_senior
 id-prod-navegante-lisboa-418a-gl; navegante® Lisboa Sub18/Sub23 (A) GL;True;True;False
 id-prod-navegante-loures-familia; navegante® Loures Família;True;False;False
 id-prod-navegante-loures-acv; navegante® Loures Antigo Combatente;True;False;True
 id-prod-navegante-loures-418; navegante® Loures Sub18/Sub23;True;True;False
 id-prod-navegante-loures-social; navegante® Loures cPT B;True;False;False
 id-prod-navegante-loures-sociala; navegante® Loures cPT A;True;False;False
 id-prod-navegante-loures-418a; navegante® Loures Sub18/Sub23 (A);True;True;False
 id-prod-navegante-mafra-familia; navegante® Mafra Família;True;False;False
 id-prod-navegante-mafra-acv; navegante® Mafra Antigo Combatente;True;False;True
 id-prod-navegante-mafra-418; navegante® Mafra Sub18/Sub23;True;True;False
 id-prod-navegante-mafra-social; navegante® Mafra cPT B;True;False;False
 id-prod-navegante-mafra-sociala; navegante® Mafra cPT A;True;False;False
 id-prod-navegante-mafra-418a; navegante® Mafra Sub18/Sub23 (A);True;True;False
 id-prod-navegante-moita-familia; navegante® Moita Família;True;False;False
 id-prod-navegante-moita-acv; navegante® Moita Antigo Combatente;True;False;True
 id-prod-navegante-moita-418; navegante® Moita Sub18/Sub23;True;True;False
 id-prod-navegante-moita-social; navegante® Moita cPT B;True;False;False
 id-prod-navegante-moita-sociala; navegante® Moita cPT A;True;False;False
 id-prod-navegante-moita-418a; navegante® Moita Sub18/Sub23 (A);True;True;False
 id-prod-navegante-montijo-familia; navegante® Montijo Família;True;False;False
 id-prod-navegante-montijo-acv; navegante® Montijo Antigo Combatente;True;False;True
 id-prod-navegante-montijo-418; navegante® Montijo Sub18/Sub23;True;True;False
 id-prod-navegante-montijo-social; navegante® Montijo cPT B;True;False;False
 id-prod-navegante-montijo-sociala; navegante® Montijo cPT A;True;False;False
 id-prod-navegante-montijo-418a; navegante® Montijo Sub18/Sub23 (A);True;True;False
 id-prod-navegante-odivelas-familia; navegante® Odivelas Família;True;False;False
 id-prod-navegante-odivelas-acv; navegante® Odivelas Antigo Combatente;True;False;True
 id-prod-navegante-odivelas-418; navegante® Odivelas Sub18/Sub23;True;True;False
 id-prod-navegante-odivelas-social; navegante® Odivelas cPT B;True;False;False
 id-prod-navegante-odivelas-sociala; navegante® Odivelas cPT A;True;False;False
 id-prod-navegante-odivelas-418a; navegante® Odivelas Sub18/Sub23 (A);True;True;False
 id-prod-navegante-oeiras-familia; navegante® Oeiras Família;True;False;False
 id-prod-navegante-oeiras-acv; navegante® Oeiras Antigo Combatente;True;False;True
 id-prod-navegante-oeiras-418; navegante® Oeiras Sub18/Sub23;True;True;False
 id-prod-navegante-oeiras-social; navegante® Oeiras cPT B;True;False;False
 id-prod-navegante-oeiras-sociala; navegante® Oeiras cPT A;True;False;False
 id-prod-navegante-oeiras-418a; navegante® Oeiras Sub18/Sub23 (A);True;True;False
 id-prod-navegante-palmela-familia; navegante® Palmela Família;True;False;False
 id-prod-navegante-palmela-acv; navegante® Palmela Antigo Combatente;True;False;True
 id-prod-navegante-palmela-418; navegante® Palmela Sub18/Sub23;True;True;False
 id-prod-navegante-palmela-social; navegante® Palmela cPT B;True;False;False
 id-prod-navegante-palmela-sociala; navegante® Palmela cPT A;True;False;False
 id-prod-navegante-palmela-418a; navegante® Palmela Sub18/Sub23 (A);True;True;False
 id-prod-navegante-seixal-familia; navegante® Seixal Família;True;False;False
 id-prod-navegante-seixal-acv; navegante® Seixal Antigo Combatente;True;False;True
 id-prod-navegante-seixal-418; navegante® Seixal Sub18/Sub23;True;True;False
 id-prod-navegante-seixal-social; navegante® Seixal cPT B;True;False;False
 id-prod-navegante-seixal-sociala; navegante® Seixal cPT A;True;False;False
 id-prod-navegante-seixal-418a; navegante® Seixal Sub18/Sub23 (A);True;True;False
 id-prod-navegante-sesimbra-familia; navegante® Sesimbra Família;True;False;False
 id-prod-navegante-sesimbra-acv; navegante® Sesimbra Antigo Combatente;True;False;True
 id-prod-navegante-sesimbra-418; navegante® Sesimbra Sub18/Sub23;True;True;False
 id-prod-navegante-sesimbra-social; navegante® Sesimbra cPT B;True;False;False
 id-prod-navegante-sesimbra-sociala; navegante® Sesimbra cPT A;True;False;False
 id-prod-navegante-sesimbra-418a; navegante® Sesimbra Sub18/Sub23 (A);True;True;False
 id-prod-navegante-setubal-familia; navegante® Setúbal Família;True;False;False
 id-prod-navegante-setubal-acv; navegante® Setúbal Antigo Combatente;True;False;True
 id-prod-navegante-setubal-418; navegante® Setúbal Sub18/Sub23;True;True;False
 id-prod-navegante-setubal-social; navegante® Setúbal cPT B;True;False;False
 id-prod-navegante-setubal-resid-cptb; navegante® Setúbal cPT B Residente;True;False;False
 id-prod-navegante-setubal-sociala; navegante® Setúbal cPT A;True;False;False
 id-prod-navegante-setubal-resid-cpta; navegante® Setúbal cPT A Residente;True;False;False
 id-prod-navegante-setubal-418a; navegante® Setúbal Sub18/Sub23 (A);True;True;False
 id-prod-navegante-sintra-familia; navegante® Sintra Família;True;False;False
 id-prod-navegante-sintra-acv; navegante® Sintra Antigo Combatente;True;False;True
 id-prod-navegante-sintra-418; navegante® Sintra Sub18/Sub23;True;True;False
 id-prod-navegante-sintra-social; navegante® Sintra cPT B;True;False;False
 id-prod-navegante-sintra-sociala; navegante® Sintra cPT A;True;False;False
 id-prod-navegante-sintra-418a; navegante® Sintra Sub18/Sub23 (A);True;True;False
 id-prod-navegante-vfxira-familia; navegante® Vila Franca de Xira Família;True;False;False
 id-prod-navegante-vfxira-acv; navegante® Vila Franca de Xira Antigo Combatente;True;False;True
 id-prod-navegante-vfxira-418; navegante® Vila Franca de Xira Sub18/Sub23;True;True;False
 id-prod-navegante-vfxira-social; navegante® Vila Franca de Xira cPT B;True;False;False
 id-prod-navegante-vfxira-sociala; navegante® Vila Franca de Xira cPT A;True;False;False
 id-prod-navegante-vfxira-418a; navegante® V. Franca de Xira Sub18/Sub23 (A);True;True;False
 id-prod-navegante-trabalhador; navegante® Trabalhador;True;False;False
 id-prod-navegante-trabalhador-cm; navegante® Trabalhador CM;True;False;False
 id-prod-navegante-trabalhador-nao-cm; navegante® Trabalhador não CM;True;False;False
 id-prod-navegante-famil-trab-cm-a1; navegante® Familiar Trabalhador CM A1;True;False;False
 id-prod-navegante-famil-trab-cm-a2; navegante® Familiar Trabalhador CM A2;True;False;False
