verification_status,status,id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,display_mode,stops
verificado,ok,332,Escola Básica dos 2º e 3º ciclos,38.628733,-8.912599,4,Pinhal Novo,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130378
verificado,ok,333,Avenida Liberdade (Correios),38.584074,-8.691165,4,Águas de Moura,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130708
verificado,ok,334,Praça José Maria dos Santos,38.631421,-8.915842,4,Pinhal Novo,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130228
verificado,ok,335,EN5-Passagem de Nível,38.634229,-8.742044,4,Poceirão,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130159
verificado,ok,336,Avenida Visconde Tojal 278,38.556439,-8.967351,4,Cabanas,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130122
verificado,ok,339,Avenida Vale de Milhaços 30,38.638960,-9.153290,3,Corroios,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140350
verificado,ok,340,Rua Gil Vicente (X) Rua Pedro Nunes,38.617786,-9.102043,3,Arrentela,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140048
verificado,ok,341,Seixal (Terminal Fluvial) - P1 - P2,38.647237,-9.096285,3,Seixal,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140073|149994
verificado,ok,342,Seixal (Terminal Fluvial) - P3 - P4,38.646986,-9.095834,3,Seixal,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140074|140733
verificado,ok,345,Avenida 25 de Abril 79,38.641336,-9.150793,3,Corroios,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140707
verificado,ok,346,Rua das Flores (Centro de Saúde),38.645381,-9.147122,3,Corroios,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140724
verificado,structure_graffiti,347,Rua Brejos da Piedade (Zona Comercial),38.612239,-9.105489,3,Arrentela,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140586
verificado,ok,348,Avenida 25 de Abril (Rotunda),38.640656,-9.150635,3,Corroios,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140705
verificado,sticker_missing,349,Escola Básica Carlos Ribeiro,38.597126,-9.092383,3,Pinhal de Frades,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140424
verificado,ok,350,Alameda 25 de Abril,38.650487,-9.143191,3,Miratejo,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140727
verificado,structure_graffiti,351,N10 Ft Armazens da Lavoura de Almada e Seixal,38.616791,-9.110931,3,Amora,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140129
verificado,ok,352,Avenida 1º Maio - Rotunda,38.623962,-9.125898,3,Amora,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140131
