id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops,status,verification_status
220,Av. do Ralis (Supermercado),38.785105,-9.117031,2,Portela,1107,Loures,11,Lisboa,PT170,AML,071412,1.ª Fase - Exteriores,Instalado e Verificado
221,R. Mouzinho de Albuquerque (X) R. dos Actores,38.785592,-9.111522,2,Portela,1107,Loures,11,Lisboa,PT170,AML,070595,1.ª Fase - Exteriores,Instalado e Verificado
222,Largo Espírito Santo,38.900476,-9.118726,2,Bucelas,1107,Loures,11,Lisboa,PT170,AML,071341,1.ª Fase - Exteriores,Instalado por Verificar
223,Rua Heróis Ultramar 3A,38.889378,-9.206637,2,Lousa,1107,Loures,11,Lisboa,PT170,AML,071092,1.ª Fase - Exteriores,Instalado e Verificado
224,R. dos Combatentes do Ultramar 27,38.838541,-9.191826,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070020,1.ª Fase - Exteriores,Instalado por Verificar
226,Largo 25 de Abril,38.903381,-9.190229,2,Cabeço de Montachique,1107,Loures,11,Lisboa,PT170,AML,070212,1.ª Fase - Exteriores,Instalado e Verificado
227,Rua Santo Antão 9,38.854306,-9.144708,2,Santo António do Tojal,1107,Loures,11,Lisboa,PT170,AML,070872,1.ª Fase - Exteriores,Instalado por Verificar
228,R. Cmdt. Carvalho Araujo Ft. 124,38.842435,-9.178154,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070238,1.ª Fase - Exteriores,Instalado e Verificado
229,R. Vergílio Ferreira (Escola),38.810281,-9.175637,2,Santo António dos Cavaleiros,1107,Loures,11,Lisboa,PT170,AML,070328,1.ª Fase - Exteriores,Instalado e Verificado
230,Av. Mq. de Marialva (Quiosque),38.813093,-9.157045,2,Santo António dos Cavaleiros,1107,Loures,11,Lisboa,PT170,AML,070313,1.ª Fase - Exteriores,Instalado e Verificado
231,R. 1º de Maio Ft. 74,38.858515,-9.130498,2,São Julião do Tojal,1107,Loures,11,Lisboa,PT170,AML,070844,1.ª Fase - Exteriores,Instalado e Verificado
232,R. D. Afonso Henriques (Ft. Centro Comercial),38.822475,-9.098282,2,São João da Talha,1107,Loures,11,Lisboa,PT170,AML,070740,1.ª Fase - Exteriores,Instalado e Verificado
233,Santa Iria (Estação),38.841272,-9.080331,2,Santa Iria da Azoia,1107,Loures,11,Lisboa,PT170,AML,070707,1.ª Fase - Exteriores,Instalado e Verificado
234,R. Mártires do Tarrafal 43,38.808784,-9.102214,2,Bobadela,1107,Loures,11,Lisboa,PT170,AML,070793,1.ª Fase - Exteriores,Instalado e Verificado
235,R. Guilherme Gomes Fernandes Ft.37,38.801640,-9.128815,2,Camarate,1107,Loures,11,Lisboa,PT170,AML,070625,1.ª Fase - Exteriores,Instalado e Verificado
236,Av. das Forças Armadas (Ft. Pq. Desportivo),38.814902,-9.118423,2,Unhos,1107,Loures,11,Lisboa,PT170,AML,071329,1.ª Fase - Exteriores,Instalado e Verificado
237,EN250 (Ft. Quiosque),38.813631,-9.132031,2,Apelação,1107,Loures,11,Lisboa,PT170,AML,070503,1.ª Fase - Exteriores,Instalado e Verificado
238,Av. Severiano Falcão (X) R. José Fonseca Carvalho,38.789378,-9.124873,2,Prior Velho,1107,Loures,11,Lisboa,PT170,AML,071431,1.ª Fase - Exteriores,Instalado e Verificado
239,Pq. Intermodal Alto da Vela,38.932872,-9.326702,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,080348|080347,1.ª Fase - Exteriores,Instalado e Verificado
240,Lgo. de Snato António,38.959000,-9.351339,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,080113,1.ª Fase - Exteriores,Instalado e Verificado
241,R. 5 de Outubro,38.958914,-9.352969,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,080114,1.ª Fase - Exteriores,Instalado e Verificado
242,Pq. Intermodal de Mafra,38.940426,-9.335124,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,080208,1.ª Fase - Exteriores,Instalado e Verificado
243,Av. de Portugal (X) R. Adriano Paulo Costa Capote,38.945750,-9.354808,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,080861,1.ª Fase - Exteriores,Instalado e Verificado
244,Vendo do Pinheiro Eco Parque,38.927450,-9.237143,2,Vendo do Pinheiro,1109,Mafra,11,Lisboa,PT170,AML,082003,1.ª Fase - Exteriores,Instalado e Verificado
245,Vendo do Pinheiro Eco Parque,38.927523,-9.236676,2,Vendo do Pinheiro,1109,Mafra,11,Lisboa,PT170,AML,082004,1.ª Fase - Exteriores,Instalado e Verificado
246,R. 25 de Abril Ft. 18,38.930560,-9.254975,2,Malveira,1109,Mafra,11,Lisboa,PT170,AML,080283,1.ª Fase - Exteriores,Instalado e Verificado
247,R. 25 de Abril 28,38.929869,-9.256424,2,Malveira,1109,Mafra,11,Lisboa,PT170,AML,080282,1.ª Fase - Exteriores,Instalado e Verificado
248,R 25 de Abril 36 (Igreja Nova),38.917585,-9.322223,2,Igreja Nova,1109,Mafra,11,Lisboa,PT170,AML,080448,1.ª Fase - Exteriores,Instalado por Verificar
249,Pq. Intermodal da Ericeira,38.967230,-9.405684,2,Ericeira,1109,Mafra,11,Lisboa,PT170,AML,080007|082006|082007|082008|082009,1.ª Fase - Exteriores,Instalado e Verificado
250,R 25 de Abril 13 (Igreja Nova),38.914452,-9.326051,2,Igreja Nova,1109,Mafra,11,Lisboa,PT170,AML,080447,1.ª Fase - Exteriores,Instalado por Verificar
251,R. Movimento das Forças Armadas 83,38.922621,-9.296402,2,São Miguel de Alcainça,1109,Mafra,11,Lisboa,PT170,AML,080340,1.ª Fase - Exteriores,Instalado e Verificado
252,R. Movimento das Forças Armadas Ft. 83,38.922906,-9.296322,2,São Miguel de Alcainça,1109,Mafra,11,Lisboa,PT170,AML,080339,1.ª Fase - Exteriores,Instalado e Verificado
254,Av Portugal 17,38.930741,-9.202515,2,Póvoa da Galega,1109,Mafra,11,Lisboa,PT170,AML,081031,1.ª Fase - Exteriores,Instalado por Verificar
255,Av Portugal 17,38.929956,-9.202953,2,Póvoa da Galega,1109,Mafra,11,Lisboa,PT170,AML,081004,1.ª Fase - Exteriores,Instalado por Verificar
