id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
TRAIN_026,Oeiras,38.688569,-9.319063,1,0,0,0,,,,111014,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,120787|120788|121187|121188|121297|121235|121272|121291|121270|120729
TRAIN_027,Parede,38.689777,-9.356478,1,0,0,0,,,,110507,União das freguesias de Carcavelos e Parede,1105,Cascais,11,Lisboa,PT170,AML,050047|050043
TRAIN_028,Paço de Arcos,38.697129,-9.290987,1,0,0,0,,,,111014,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,120889|120890
TRAIN_029,Belém,38.696195,-9.197392,1,0,0,0,,,,110658,Belém,1106,Lisboa,11,Lisboa,PT170,AML,060384|060383|060101|060107
TRAIN_030,São Pedro do Estoril,38.695368,-9.371595,1,0,0,0,,,,110508,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,
TRAIN_031,Algés,38.698285,-9.229009,1,0,0,0,,,,111012,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",1110,Oeiras,11,Lisboa,PT170,AML,120261|120339|120340|121061|121095|121309|120081|120325|121308
TRAIN_032,Caxias,38.698770,-9.274422,1,0,0,0,,,,111014,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,120587|120661|120662
TRAIN_033,Cruz Quebrada,38.699797,-9.252115,1,0,0,0,,,,111012,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",1110,Oeiras,11,Lisboa,PT170,AML,121159
TRAIN_034,Alcântara-Mar,38.702356,-9.174033,1,0,0,0,,,,110660,Estrela,1106,Lisboa,11,Lisboa,PT170,AML,062003
TRAIN_035,Cascais,38.700861,-9.417923,1,0,0,0,,,,110508,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050319|050205|050419|050424
TRAIN_036,São João do Estoril,38.701251,-9.385950,1,0,0,0,,,,110508,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,
TRAIN_037,Estoril,38.703250,-9.398707,1,0,0,0,,,,110508,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050359
