operator_id,date,line_id,stop_id,validations
41,2023-12-31,1101,120026,7
41,2023-12-31,1101,120027,6
41,2023-12-31,1101,120030,3
41,2023-12-31,1101,120033,1
41,2023-12-31,1101,120047,1
41,2023-12-31,1101,120050,1
41,2023-12-31,1101,120055,5
41,2023-12-31,1101,120058,2
41,2023-12-31,1101,120059,1
41,2023-12-31,1101,120060,3
41,2023-12-31,1101,120061,4
41,2023-12-31,1101,120062,1
41,2023-12-31,1101,120064,1
41,2023-12-31,1101,120065,1
41,2023-12-31,1101,120066,1
41,2023-12-31,1101,120069,1
41,2023-12-31,1101,120070,2
41,2023-12-31,1101,120071,1
41,2023-12-31,1101,120072,2
41,2023-12-31,1101,120073,2
41,2023-12-31,1101,120075,13
41,2023-12-31,1101,120077,4
41,2023-12-31,1101,120078,1
41,2023-12-31,1101,120081,34
41,2023-12-31,1101,120083,3
41,2023-12-31,1101,120085,11
41,2023-12-31,1101,120087,2
41,2023-12-31,1101,120091,2
41,2023-12-31,1101,120095,1
41,2023-12-31,1101,120097,1
41,2023-12-31,1101,120099,2
41,2023-12-31,1101,120101,1
41,2023-12-31,1101,120103,9
41,2023-12-31,1101,120107,3
41,2023-12-31,1101,120109,8
41,2023-12-31,1101,120111,6
41,2023-12-31,1101,120115,2
41,2023-12-31,1101,120117,4
41,2023-12-31,1101,120327,6
41,2023-12-31,1103,120033,8
41,2023-12-31,1103,120035,4
41,2023-12-31,1103,120037,1
41,2023-12-31,1103,120047,20
41,2023-12-31,1103,120057,15
41,2023-12-31,1103,120058,6
41,2023-12-31,1103,120059,19
41,2023-12-31,1103,120060,13
41,2023-12-31,1103,120061,31
41,2023-12-31,1103,120062,12
41,2023-12-31,1103,120101,5
41,2023-12-31,1103,120103,9
41,2023-12-31,1103,120105,3
41,2023-12-31,1103,120107,9
41,2023-12-31,1103,120109,10
41,2023-12-31,1103,120151,6
41,2023-12-31,1103,120152,10
41,2023-12-31,1103,120167,28
41,2023-12-31,1103,120173,30
41,2023-12-31,1103,120241,8
41,2023-12-31,1103,120249,22
41,2023-12-31,1103,120261,168
41,2023-12-31,1103,120263,58
41,2023-12-31,1103,120265,12
41,2023-12-31,1103,120267,1
41,2023-12-31,1103,120268,2
41,2023-12-31,1103,120269,17
41,2023-12-31,1103,120271,5
41,2023-12-31,1103,120272,3
41,2023-12-31,1103,120273,4
41,2023-12-31,1103,120275,5
41,2023-12-31,1103,120276,7
41,2023-12-31,1103,120277,10
41,2023-12-31,1103,120279,3
41,2023-12-31,1103,120284,2
41,2023-12-31,1103,120285,2
41,2023-12-31,1103,120288,2
41,2023-12-31,1103,120289,8
41,2023-12-31,1103,120290,6
41,2023-12-31,1103,120291,2
41,2023-12-31,1103,120292,10
41,2023-12-31,1103,120295,9
41,2023-12-31,1103,120296,20
41,2023-12-31,1103,120297,12
41,2023-12-31,1103,120299,1
41,2023-12-31,1103,120303,3
41,2023-12-31,1103,120305,17
41,2023-12-31,1103,120309,50
41,2023-12-31,1103,120313,38
41,2023-12-31,1103,120315,4
41,2023-12-31,1103,120317,3
41,2023-12-31,1103,120319,12
41,2023-12-31,1103,120321,4
41,2023-12-31,1103,120323,16
41,2023-12-31,1103,120473,1
41,2023-12-31,1103,120543,9
41,2023-12-31,1105,120033,3
41,2023-12-31,1105,120035,1
41,2023-12-31,1105,120041,3
41,2023-12-31,1105,120045,2
41,2023-12-31,1105,120097,3
41,2023-12-31,1105,120099,2
41,2023-12-31,1105,120101,1
41,2023-12-31,1105,120103,10
41,2023-12-31,1105,120105,3
41,2023-12-31,1105,120107,10
41,2023-12-31,1105,120109,7
41,2023-12-31,1105,120176,1
41,2023-12-31,1105,120185,1
41,2023-12-31,1105,120187,6
41,2023-12-31,1105,120188,2
41,2023-12-31,1105,120275,2
41,2023-12-31,1105,120276,4
41,2023-12-31,1105,120279,2
41,2023-12-31,1105,120317,4
41,2023-12-31,1105,120339,19
41,2023-12-31,1105,120341,2
41,2023-12-31,1105,120343,4
41,2023-12-31,1105,120347,3
41,2023-12-31,1105,120348,6
41,2023-12-31,1105,120349,4
41,2023-12-31,1105,120352,1
41,2023-12-31,1105,120357,2
41,2023-12-31,1105,120361,5
41,2023-12-31,1105,120364,6
